Country Code,Country Name
1,World
2,Africa
15,Northern Africa
12,Algeria
434,Libya
504,Morocco
729,Sudan
732,Western Sahara
788,Tunisia
818,Egypt
202,Sub-Saharan Africa
11,Western Africa
132,Cabo Verde
178,Congo
204,Benin
270,Gambia
288,Ghana
324,Guinea
384,Côte d'Ivoire
430,Liberia
466,Mali
478,Mauritania
562,Niger
566,Nigeria
624,Guinea-Bissau
654,Saint Helena
655,Ascension
686,Senegal
694,Sierra Leone
768,Togo
854,Burkina Faso
14,Eastern Africa
86,British Indian Ocean Territory
108,Burundi
174,Comoros
175,Mayotte
231,Ethiopia
232,Eritrea
260,French Southern Territories
262,Djibouti
404,Kenya
450,Madagascar
454,Malawi
480,Mauritius
508,Mozambique
638,Réunion
646,Rwanda
690,Seychelles
706,Somalia
716,Zimbabwe
728,South Sudan
736,Sudan [former]
800,Uganda
834,United Republic of Tanzania
894,Zambia
17,Middle Africa
24,Angola
120,Cameroon
140,Central African Republic
148,Chad
180,Democratic Republic of the Congo
226,Equatorial Guinea
266,Gabon
678,Sao Tome and Principe
18,Southern Africa
72,Botswana
426,Lesotho
516,Namibia
710,South Africa
748,Eswatini
9,Oceania
53,Australia and New Zealand
36,Australia
162,Christmas Island
166,Cocos (Keeling) Islands
334,Heard Island and McDonald Islands
554,New Zealand
574,Norfolk Island
54,Melanesia
90,Solomon Islands
242,Fiji
540,New Caledonia
548,Vanuatu
598,Papua New Guinea
57,Micronesia
296,Kiribati
316,Guam
520,Nauru
580,Northern Mariana Islands
581,United States Minor Outlying Islands
583,Micronesia (Federated States of)
584,Marshall Islands
585,Palau
61,Polynesia
16,American Samoa
184,Cook Islands
258,French Polynesia
570,Niue
612,Pitcairn
772,Tokelau
776,Tonga
798,Tuvalu
876,Wallis and Futuna Islands
882,Samoa
543,Oceania (exc. Australia and New Zealand)
10,Antarctica
19,Americas
21,Northern America
60,Bermuda
124,Canada
304,Greenland
666,Saint Pierre and Miquelon
840,United States of America
419,Latin America and the Caribbean
5,South America
32,Argentina
68,Bolivia (Plurinational State of)
74,Bouvet Island
76,Brazil
152,Chile
170,Colombia
218,Ecuador
238,Falkland Islands (Malvinas)
239,South Georgia and the South Sandwich Islands
254,French Guiana
328,Guyana
600,Paraguay
604,Peru
740,Suriname
858,Uruguay
862,Venezuela (Bolivarian Republic of)
13,Central America
84,Belize
188,Costa Rica
222,El Salvador
320,Guatemala
340,Honduras
484,Mexico
558,Nicaragua
591,Panama
29,Caribbean
28,Antigua and Barbuda
44,Bahamas
52,Barbados
92,British Virgin Islands
136,Cayman Islands
192,Cuba
212,Dominica
214,Dominican Republic
308,Grenada
312,Guadeloupe
332,Haiti
388,Jamaica
474,Martinique
500,Montserrat
530,Netherlands Antilles [former]
531,Curaçao
533,Aruba
534,Sint Maarten (Dutch part)
535,"Bonaire, Sint Eustatius and Saba"
630,Puerto Rico
652,Saint Barthélemy
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
663,Saint Martin (French Part)
670,Saint Vincent and the Grenadines
780,Trinidad and Tobago
796,Turks and Caicos Islands
850,United States Virgin Islands
62,Central and Southern Asia
142,Asia
30,Eastern Asia
156,China
158,Other non-specified areas in Eastern Asia
344,"China, Hong Kong Special Administrative Region"
392,Japan
408,Democratic People's Republic of Korea
410,Republic of Korea
446,"China, Macao Special Administrative Region"
496,Mongolia
34,Southern Asia
4,Afghanistan
50,Bangladesh
64,Bhutan
144,Sri Lanka
356,India
364,Iran (Islamic Republic of)
462,Maldives
524,Nepal
586,Pakistan
35,South-Eastern Asia
96,Brunei Darussalam
104,Myanmar
116,Cambodia
360,Indonesia
418,Lao People's Democratic Republic
458,Malaysia
608,Philippines
626,Timor-Leste
702,Singapore
704,Viet Nam
764,Thailand
143,Central Asia
398,Kazakhstan
417,Kyrgyzstan
762,Tajikistan
795,Turkmenistan
860,Uzbekistan
145,Western Asia
31,Azerbaijan
48,Bahrain
51,Armenia
196,Cyprus
268,Georgia
275,State of Palestine
368,Iraq
369,Iraq (Central Iraq)
370,Iraq (Kurdistan Region)
376,Israel
400,Jordan
414,Kuwait
422,Lebanon
512,Oman
634,Qatar
682,Saudi Arabia
760,Syrian Arab Republic
784,United Arab Emirates
792,Türkiye
887,Yemen
223,Eastern Asia (excluding Japan and China)
150,Europe
39,Southern Europe
8,Albania
20,Andorra
70,Bosnia and Herzegovina
191,Croatia
292,Gibraltar
300,Greece
336,Holy See
380,Italy
470,Malta
499,Montenegro
620,Portugal
674,San Marino
688,Serbia
705,Slovenia
724,Spain
807,North Macedonia
891,Serbia and Montenegro [former]
151,Eastern Europe
100,Bulgaria
112,Belarus
203,Czechia
348,Hungary
412,Kosovo
498,Republic of Moldova
616,Poland
642,Romania
643,Russian Federation
703,Slovakia
804,Ukraine
154,Northern Europe
208,Denmark
233,Estonia
234,Faroe Islands
246,Finland
248,Åland Islands
352,Iceland
372,Ireland
428,Latvia
440,Lithuania
578,Norway
744,Svalbard and Jan Mayen Islands
752,Sweden
826,United Kingdom of Great Britain and Northern Ireland
827,United Kingdom (England and Wales)
828,United Kingdom (Northern Ireland)
829,United Kingdom (Scotland)
830,Channel Islands
680,Sark
831,Guernsey
832,Jersey
833,Isle of Man
155,Western Europe
40,Austria
56,Belgium
250,France
276,Germany
438,Liechtenstein
442,Luxembourg
492,Monaco
528,Netherlands (Kingdom of the)
756,Switzerland
