group1,group2,meandiff,p-adj,lower,upper,reject
GRU_Baseline,GRU_DomainBased,395.8889,0.9097,-553.3465,1345.1243,False
GRU_Baseline,GRU_EnsembleSimpleMethods,1094.4444,0.0114,145.209,2043.6798,True
GRU_Baseline,GRU_RandomForest,1485.9365,0.0001,536.7011,2435.1719,True
GRU_Baseline,TCN_Baseline,-645.8889,0.4352,-1595.1243,303.3465,False
GRU_Baseline,TCN_DomainBased,-624.4762,0.4812,-1573.7116,324.7592,False
GRU_Baseline,TCN_EnsembleSimpleMethods,-196.5079,0.9985,-1145.7433,752.7275,False
GRU_Baseline,TCN_RandomForest,-611.619,0.5093,-1560.8544,337.6163,False
GRU_DomainBased,GRU_EnsembleSimpleMethods,698.5556,0.3296,-250.6798,1647.791,False
GRU_DomainBased,GRU_RandomForest,1090.0476,0.012,140.8122,2039.283,True
GRU_DomainBased,TCN_Baseline,-1041.7778,0.0201,-1991.0132,-92.5424,True
GRU_DomainBased,TCN_DomainBased,-1020.3651,0.0251,-1969.6005,-71.1297,True
GRU_DomainBased,TCN_EnsembleSimpleMethods,-592.3968,0.5518,-1541.6322,356.8386,False
GRU_DomainBased,TCN_RandomForest,-1007.5079,0.0285,-1956.7433,-58.2725,True
GRU_EnsembleSimpleMethods,GRU_RandomForest,391.4921,0.9145,-557.7433,1340.7275,False
GRU_EnsembleSimpleMethods,TCN_Baseline,-1740.3333,0.0,-2689.5687,-791.0979,True
GRU_EnsembleSimpleMethods,TCN_DomainBased,-1718.9206,0.0,-2668.156,-769.6852,True
GRU_EnsembleSimpleMethods,TCN_EnsembleSimpleMethods,-1290.9524,0.0011,-2240.1878,-341.717,True
GRU_EnsembleSimpleMethods,TCN_RandomForest,-1706.0635,0.0,-2655.2989,-756.8281,True
GRU_RandomForest,TCN_Baseline,-2131.8254,0.0,-3081.0608,-1182.59,True
GRU_RandomForest,TCN_DomainBased,-2110.4127,0.0,-3059.6481,-1161.1773,True
GRU_RandomForest,TCN_EnsembleSimpleMethods,-1682.4444,0.0,-2631.6798,-733.209,True
GRU_RandomForest,TCN_RandomForest,-2097.5556,0.0,-3046.791,-1148.3202,True
TCN_Baseline,TCN_DomainBased,21.4127,1.0,-927.8227,970.6481,False
TCN_Baseline,TCN_EnsembleSimpleMethods,449.381,0.8377,-499.8544,1398.6163,False
TCN_Baseline,TCN_RandomForest,34.2698,1.0,-914.9656,983.5052,False
TCN_DomainBased,TCN_EnsembleSimpleMethods,427.9683,0.8695,-521.2671,1377.2036,False
TCN_DomainBased,TCN_RandomForest,12.8571,1.0,-936.3783,962.0925,False
TCN_EnsembleSimpleMethods,TCN_RandomForest,-415.1111,0.8867,-1364.3465,534.1243,False
